x
47700
52700
57700
62700
67700
72700
77700
82700
87700
92700
97700
102700
107700
112700
117700
122700
127700
132700
137700
142700
147700
152700
157700
162700
167700
172700
177700
182700
187700
192700
197700
202700
207700
212700
217700
222700
227700
232700
237700
242700
247700
252700
257700
262700
267700
272700
277700
282700
287700
292700
297700
302700
307700
312700
317700
322700
327700
332700
337700
342700
347700
352700
357700
362700
367700
372700
377700
382700
387700
392700
397700
402700
407700
412700
417700
422700
427700
432700
437700
442700
447700
452700
457700
462700
467700
472700
477700
482700
487700
492700
497700
502700
507700
512700
517700
522700
527700
532700
537700
542700
547700
552700
557700
562700
567700
572700
577700
582700
587700
592700
597700
602700
607700
612700
617700
622700
627700
632700
637700
642700
647700
652700
657700
662700
667700
672700
677700
682700
687700
692700
697700
702700
707700
712700
717700
722700
727700
732700
737700
742700
747700
752700
757700
762700
767700
772700
777700
782700
787700
792700
797700
802700
807700
812700
817700
822700
827700
832700
837700
842700
847700
852700
857700
862700
867700
872700
877700
882700
887700
892700
897700
902700
907700
912700
917700
922700
927700
932700
937700
942700
947700
952700
957700
962700
967700
972700
977700
982700
987700
992700
997700
1002700
1007700
1012700
1017700
1022700
47700
52700
57700
62700
67700
72700
77700
82700
87700
92700
97700
102700
107700
112700
117700
122700
127700
132700
137700
142700
147700
152700
157700
162700
167700
172700
177700
182700
187700
192700
197700
202700
207700
212700
217700
222700
227700
232700
237700
242700
247700
252700
257700
262700
267700
272700
277700
282700
287700
292700
297700
302700
307700
312700
317700
322700
327700
332700
337700
342700
347700
352700
357700
362700
367700
372700
377700
382700
387700
392700
397700
402700
407700
412700
417700
422700
427700
432700
437700
442700
447700
452700
457700
462700
467700
472700
477700
482700
487700
492700
497700
502700
507700
512700
517700
522700
527700
532700
537700
542700
547700
552700
557700
562700
567700
572700
577700
582700
587700
592700
597700
602700
607700
612700
617700
622700
627700
632700
637700
642700
647700
652700
657700
662700
667700
672700
677700
682700
687700
692700
697700
702700
707700
712700
717700
722700
727700
732700
737700
742700
747700
752700
757700
762700
767700
772700
777700
782700
787700
792700
797700
802700
807700
812700
817700
822700
827700
832700
837700
842700
847700
852700
857700
862700
867700
872700
877700
882700
887700
892700
897700
902700
907700
912700
917700
922700
927700
932700
937700
942700
947700
952700
957700
962700
967700
972700
977700
982700
987700
992700
997700
1002700
1007700
1012700
1017700
1022700
47700
52700
57700
62700
67700
72700
77700
82700
87700
92700
97700
102700
107700
112700
117700
122700
127700
132700
137700
142700
147700
152700
